pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_bc,beb_dir,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,send_q_size,susp_size,fl_s,fl_r,fl_rq,receive_q_size
4,0,396,1028,11392,76,90,268,30,1,77,107,117,268,635,2000,1707,2000,4460,5810,308,254,0,4753,5339,254,286,232,349,18,357,0,5072,5347,5347,8
4,1,727,2043,11904,95,81,181,16,1,172,202,212,181,502,1396,1226,1397,3832,4974,371,271,0,3447,4062,271,303,308,553,66,441,0,4427,4491,4491,459
4,2,1105,3046,13996,74,74,195,30,1,246,276,286,195,875,1746,1655,1746,5316,6980,637,686,0,5044,6385,686,608,359,1468,75,434,0,6676,6478,6478,555
4,3,1519,4055,18320,50,50,239,103,1,296,326,336,239,668,1466,1624,1466,5722,7018,884,558,0,4509,5647,558,540,612,2376,124,762,0,7214,6808,6808,1716
4,4,1903,5056,16672,92,106,246,37,1,388,418,428,246,338,2250,1322,2249,4315,6049,645,553,0,6722,8241,553,913,315,3145,55,350,0,5558,6619,6595,70
4,5,2259,6061,17696,98,84,222,19,1,486,516,526,222,563,1468,1451,1469,4251,5654,355,242,0,3680,4246,242,284,329,3314,74,398,0,4880,5063,5063,911
4,6,2649,7070,21024,35,37,179,79,21,521,551,561,179,552,1627,1268,1627,4982,6239,972,684,0,5237,6701,684,739,459,4258,95,409,0,6683,7198,7012,1323
4,7,3015,8082,18880,114,112,229,20,135,635,665,675,229,300,1826,1216,1826,3611,4746,673,300,0,5287,6345,300,709,333,4644,64,490,0,4463,5738,5738,817
4,8,3417,9089,18564,105,106,255,49,240,740,766,776,255,404,2075,1424,2075,4794,6457,636,473,0,5966,7180,473,693,309,4977,49,271,0,5953,6722,6722,391
4,9,3818,10092,18948,90,90,264,12,330,830,860,870,264,883,1862,1939,1861,5417,7153,522,517,0,5100,6107,517,440,234,5850,40,474,0,6501,5733,5733,18
4,10,4182,11099,18948,71,70,229,18,401,901,931,941,229,841,1583,1757,1584,5223,6955,389,470,0,4374,5283,470,394,369,6483,54,499,0,6088,5467,5467,268
4,11,4534,12101,18912,55,60,184,36,456,956,982,992,184,732,1405,1468,1405,4744,6318,452,466,0,3667,4503,466,332,255,6803,50,393,0,5707,4890,4890,655
4,12,5027,13185,18972,52,51,195,42,508,1008,1032,1042,195,768,1621,1548,1621,5389,6939,501,514,0,4830,5856,514,465,312,7427,51,391,0,6448,5494,5494,325
4,13,5432,14237,18972,75,72,229,28,583,1083,1113,1123,229,749,1570,1665,1570,5246,6815,481,492,0,4328,5291,492,422,313,7984,72,487,0,6029,5310,5310,478
4,14,5833,15246,18972,70,70,196,33,653,1153,1171,1181,196,859,1526,1643,1526,4999,6768,473,575,0,4243,5327,575,463,315,8325,43,361,0,6091,5050,5050,201
4,15,6184,16248,18972,73,73,210,2,726,1226,1253,1263,210,758,1506,1598,1506,4787,6356,494,430,0,4265,5148,430,403,253,8959,46,390,0,5732,5069,5069,126
4,16,6502,17251,18972,57,59,180,47,783,1283,1313,1323,180,798,1285,1518,1284,4567,6102,428,559,0,3684,4745,559,454,207,9696,44,373,0,5603,4610,4610,0
4,17,6848,18262,18972,58,56,167,52,841,1341,1353,1363,167,678,1120,1346,1121,4369,5636,432,439,0,3213,4078,439,384,245,10102,38,452,0,5284,4625,4625,551
4,18,7252,19277,19052,54,55,211,39,895,1395,1425,1435,211,783,1551,1627,1551,5429,6974,713,611,0,4951,6224,611,614,377,10673,64,534,0,6803,6064,6064,402
4,19,7600,20287,19180,67,67,173,17,962,1462,1492,1502,173,742,1356,1434,1356,4518,6022,466,559,0,4147,5293,559,539,244,11253,51,464,0,5593,5561,5561,670
4,20,8001,21295,19668,60,58,225,106,1022,1522,1552,1562,225,654,1672,1554,1672,5624,6861,759,622,0,5218,6511,622,626,542,12239,102,781,0,7050,6632,6632,791
4,21,8404,22296,19388,87,88,242,49,1109,1609,1638,1648,242,714,1929,1682,1929,5734,7773,860,737,0,5436,6976,737,757,376,12790,97,424,0,7364,6611,6611,426
4,22,8799,23301,19508,71,73,225,43,1180,1680,1710,1720,225,812,1759,1712,1759,5308,7024,669,598,0,4859,6183,598,680,307,13386,42,420,0,6620,6100,6100,344
4,23,9209,24309,19788,63,80,214,33,1243,1743,1773,1783,214,796,1731,1652,1731,5148,6749,620,689,0,4799,6069,689,536,349,14201,78,471,0,6503,5901,5901,176
4,24,9602,25444,19788,67,51,148,37,1310,1810,1840,1850,148,577,1158,1169,1158,3867,5044,660,431,0,3429,4403,431,501,227,14588,59,466,0,4927,4562,4562,383
4,25,9961,26563,20196,40,39,132,73,1350,1850,1869,1879,132,533,1026,1061,1026,4367,5639,579,390,0,3378,4264,390,458,265,14956,63,380,0,4784,4208,4208,458
4,26,10335,27571,19948,63,60,203,8,1413,1913,1943,1953,203,872,1527,1684,1527,4501,6120,493,513,0,4261,5307,513,488,277,15554,52,445,0,5521,5032,5032,199
4,27,10687,28580,19948,51,58,162,13,1464,1964,1994,2004,162,684,1306,1332,1306,4139,5515,458,460,0,3351,4200,460,346,219,15913,48,401,0,5097,4269,4269,269
4,28,11102,29588,20392,24,30,179,107,1488,1988,2013,2023,179,640,1283,1356,1284,4989,6044,704,552,0,3760,4783,552,434,775,16526,115,703,0,6290,5333,5309,825
4,29,11469,30594,20160,81,69,185,45,1569,2069,2081,2091,185,735,1420,1475,1420,5152,6855,752,828,0,4557,6147,828,721,210,17711,35,475,0,6781,5608,5608,322
4,30,11789,31614,20160,89,88,256,33,1658,2158,2188,2198,256,968,1517,1992,1516,5324,7376,304,589,0,3852,4848,589,355,176,18107,29,415,0,6210,4582,4582,121
4,31,12125,32615,19968,69,94,216,21,1727,2227,2252,2262,216,1046,1823,1910,1824,5374,7509,376,347,0,4876,5568,347,300,224,18318,45,190,0,6147,5684,5684,237
4,32,12496,33620,20480,70,49,232,55,1797,2297,2327,2337,232,765,1564,1693,1564,5181,6450,568,494,0,4387,5462,494,536,377,19049,74,614,0,6288,5794,5794,581
4,33,12898,34629,19900,82,89,215,50,1879,2379,2409,2419,215,497,1849,1357,1849,4564,6204,743,541,0,5178,6422,541,659,203,19440,60,332,0,5884,6063,6062,247
4,34,13268,35647,19900,67,52,220,75,1946,2446,2476,2486,220,703,1509,1583,1509,5180,6470,742,528,0,4172,5314,528,572,382,20199,98,646,0,6478,5738,5738,694
4,35,13698,36669,19852,85,88,221,35,2031,2531,2560,2570,221,790,1700,1674,1700,5287,7296,869,730,0,5026,6602,730,797,240,20850,66,344,0,6777,6077,6077,311
4,36,14066,37671,19852,92,89,231,32,2123,2623,2653,2663,231,965,1499,1889,1498,5418,7057,309,575,0,3936,4925,575,367,239,21638,15,598,0,6352,4834,4834,220
4,37,14440,38683,19852,87,92,224,21,2210,2710,2740,2750,224,892,1593,1788,1594,4887,6828,444,484,0,4071,4977,484,374,297,21992,57,445,0,5860,4791,4791,43
4,38,14804,39695,19852,63,67,178,10,2273,2773,2803,2813,178,768,1520,1480,1520,4468,6024,511,539,0,4027,5100,539,491,169,22576,34,369,0,5563,5249,5249,200
4,39,15167,40703,19852,76,72,247,0,2349,2849,2879,2889,247,907,1832,1895,1831,5151,7095,426,483,0,4585,5515,483,402,199,22829,31,322,0,6096,5372,5372,84
4,40,15573,41712,19852,96,91,272,1,2445,2945,2975,2985,272,943,1965,2031,1966,5372,7247,462,395,0,4660,5488,395,385,332,23354,99,478,0,6272,5620,5620,255
4,41,15929,42723,19852,55,61,173,13,2500,3000,3030,3040,173,707,1386,1399,1386,4111,5642,483,566,0,3849,4960,566,499,193,23914,43,349,0,5191,4768,4768,80
4,42,16292,43733,19852,57,51,181,11,2557,3057,3087,3097,181,716,1345,1440,1345,4150,5444,523,476,0,3630,4635,476,485,338,24458,72,496,0,5199,4910,4910,363
4,43,16699,44746,19852,64,69,209,48,2621,3121,3151,3161,209,757,1696,1593,1696,5066,6600,912,578,0,5026,6283,578,634,263,25286,70,555,0,6434,6054,6054,183
4,44,17086,45750,21004,59,56,210,74,2680,3180,3210,3220,210,651,1439,1491,1438,5316,6740,710,512,0,4013,5182,511,614,373,25690,75,625,0,6582,6030,6030,1031
4,45,17468,46758,19964,84,87,215,24,2764,3264,3294,3304,215,790,1773,1650,1773,4998,6917,523,566,0,5426,6557,567,514,265,26179,50,356,0,6138,5635,5635,109
4,46,17823,47767,19964,80,80,200,17,2844,3344,3374,3384,200,760,1399,1560,1399,4156,5620,355,386,0,3699,4541,386,407,211,26666,37,452,0,4942,4507,4507,94
4,47,18177,48775,19964,57,57,157,20,2901,3401,3431,3441,157,776,1386,1404,1386,4604,6014,514,435,0,4166,5081,435,434,211,27052,57,474,0,5595,5193,5192,206
4,48,18523,49826,19964,51,44,178,57,2952,3452,3480,3490,178,570,1141,1282,1141,4820,6025,691,445,0,3319,4200,445,405,384,27284,89,694,0,6006,5208,5208,1231
4,49,18949,50965,22408,9,17,142,95,2961,3461,3491,3501,142,581,1176,1149,1176,5343,6134,783,626,0,3422,4542,626,456,741,28258,141,1052,0,6797,5478,4930,1619
4,50,19383,52015,20528,36,54,143,56,2997,3497,3527,3537,143,811,1642,1383,1641,5790,7710,1059,979,0,5187,7167,979,947,310,29192,58,544,0,6989,5555,5555,45
4,51,19785,53028,20528,82,56,172,19,3079,3579,3609,3619,172,661,1321,1349,1321,4077,5296,512,523,0,4035,4965,523,365,456,29886,91,674,0,5113,4935,4934,53
4,52,20150,54035,20000,72,89,217,16,3151,3651,3681,3691,217,842,1532,1710,1533,5118,7003,391,630,0,3964,5094,630,454,314,30448,55,499,0,6189,5208,5208,188
4,53,20548,55039,20000,111,96,234,0,3262,3762,3792,3802,234,890,1530,1826,1530,5152,6986,346,565,0,4273,5249,565,365,267,31107,34,494,0,6092,5228,5228,171
4,54,20932,56050,20000,57,65,192,29,3319,3819,3849,3859,192,842,1444,1610,1445,4714,6357,466,570,0,3942,4938,570,384,257,31603,55,464,0,5747,5390,5390,635
4,55,21344,57059,21608,43,34,179,75,3362,3862,3892,3902,179,551,1181,1267,1181,5013,6036,603,465,0,3666,4551,465,389,410,32158,84,706,0,6121,4994,4994,1078
