pid,round,cpu,wc,ram,logged,decided,agr_rounds,window_top,window_bot,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
2,82,26845,83600,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,83,26856,84601,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,84,26870,85603,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,85,26879,86603,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,86,26889,87604,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,87,26898,88605,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,88,26913,89614,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,89,26937,90618,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,90,26950,91618,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1723,0,50,50,50,0
2,91,26971,92619,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1723,0,50,50,50,4
2,92,26991,93622,5632,0,0,0,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,1723,0,45,45,45,0
5,0,396,1035,4992,163,163,507,164,195,507,3878,3965,3878,9566,13021,503,493,0,9582,10623,493,500,261,83,26,10612,10623,10623,0
5,1,782,2051,5120,197,197,562,361,392,562,4519,4558,4519,12305,16827,575,607,0,11776,12988,607,559,534,132,52,13529,13041,13041,55
5,2,1157,3054,5248,211,214,580,572,603,580,4624,4590,4624,12209,16840,749,711,0,12243,13600,711,598,611,96,151,13719,14114,14114,569
5,3,1551,4062,5248,182,180,566,754,785,566,4257,4258,4257,11386,15587,620,725,0,11085,12628,725,771,299,350,47,12761,12238,12238,185
5,4,1909,5067,5248,222,221,633,976,1007,633,4947,4950,4947,12549,17586,753,674,0,13029,14428,674,677,519,322,48,14022,14230,14230,0
5,5,2306,6075,5248,187,187,532,1163,1194,532,4345,4318,4345,11499,15910,674,650,0,11499,12911,650,717,156,289,14,12873,13069,13069,158
5,6,2583,7078,5504,117,118,330,1280,1309,330,2581,2582,2582,8511,11021,447,371,0,6621,7328,371,307,287,154,35,9294,8770,8770,1600
5,7,2845,8089,5504,107,109,346,1387,1417,346,2553,2555,2553,7059,9658,348,836,0,7562,8919,836,452,186,345,48,8283,7623,7596,278
5,8,3257,9097,5504,205,202,551,1592,1623,551,4385,4409,4384,11647,16025,777,685,0,11297,12761,685,732,448,321,45,13159,12600,12600,204
5,9,3646,10102,5504,155,157,441,1747,1778,441,3593,3568,3593,9472,13056,580,556,0,9329,10559,556,625,161,335,18,10634,10570,10570,216
5,10,4020,11103,5504,179,178,495,1926,1957,495,3962,3961,3963,10985,15043,567,468,0,10319,11364,468,533,243,241,34,12053,11684,11684,536
5,11,4404,12112,5504,188,189,533,2114,2145,533,4338,4339,4337,11275,15409,595,646,0,11974,13265,646,594,413,517,53,12519,12779,12779,94
5,12,4778,13114,5504,199,197,536,2313,2344,536,4375,4380,4375,11493,15934,654,564,0,11392,12689,564,684,217,553,32,12755,12739,12739,165
5,13,5195,14126,5504,203,204,584,2516,2547,584,4533,4570,4533,12293,16835,593,573,0,11968,13138,573,550,483,483,43,13498,13175,13175,202
5,14,5575,15131,5504,198,200,543,2714,2745,543,4369,4320,4369,11823,16066,519,572,0,11875,13014,572,519,506,767,51,12958,13047,13047,275
5,15,5956,16139,5504,194,195,557,2908,2939,557,4436,4449,4435,10847,15384,498,615,0,11932,13136,615,541,410,673,62,12009,12916,12916,55
5,16,6354,17148,5504,214,212,538,3122,3153,538,4465,4496,4465,12366,16796,697,655,0,11583,12984,655,697,149,785,23,13767,12931,12931,2
5,17,6755,18156,5504,173,174,510,3295,3326,510,4002,3944,4002,10580,14603,469,575,0,10946,12038,575,469,403,792,83,11666,12062,12062,26
