pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
4,36,9129,37086,4736,188,188,371,31,7628,8128,8148,8158,371,2687,2816,2687,7454,10463,279,267,0,7257,7852,267,279,139,88,11,8049,7872,7872,106
4,37,9410,38087,4736,189,191,445,60,7817,8317,8337,8347,445,3195,3196,3195,8165,11293,255,273,0,8251,8829,273,255,98,135,6,8743,8808,8808,89
4,38,9708,39092,4736,269,268,594,20,8086,8586,8606,8616,594,4007,4439,4007,11486,15676,427,485,0,10480,11380,485,367,468,143,60,12448,11478,11478,187
4,39,9962,40093,4736,203,214,446,26,8289,8789,8809,8819,446,3273,3418,3273,9029,12643,248,369,0,8742,9469,369,308,372,86,64,9696,9301,9301,33
4,40,10250,41095,4736,251,239,543,11,8540,9040,9060,9070,543,3641,3792,3641,9705,13343,370,418,0,9220,10058,418,370,403,58,23,10543,10033,10033,8
4,41,10516,42097,4736,222,222,474,30,8762,9262,9282,9292,474,3431,3429,3431,8966,12603,314,320,0,9073,9756,320,314,159,115,17,9650,9740,9740,0
4,42,10743,43097,4736,198,203,426,60,8960,9460,9480,9490,426,3044,3058,3044,7790,10728,219,255,0,7579,8101,255,219,312,100,21,8309,8101,8101,0
4,43,10954,44099,4736,178,188,381,23,9138,9638,9659,9669,381,2880,2997,2880,7942,11252,244,289,0,7751,8334,289,244,49,78,6,8480,8334,8334,0
4,44,11159,45099,4736,232,217,474,39,9370,9870,9890,9900,474,3163,3101,3163,7747,10404,312,263,0,7940,8565,263,312,178,296,8,8372,8601,8601,36
4,45,11566,46100,4736,131,131,243,33,9501,10001,10001,10001,243,1903,1764,1903,5215,7491,188,184,0,5299,5721,184,188,0,66,0,5637,5685,5685,0
4,46,11577,47101,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,8,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,47,11589,48102,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,48,0,0,0,58,0,50,50,50,2
4,48,11606,49104,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,2
4,49,11617,50104,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,48,48,0
