pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_bc,beb_dir,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,send_q_size,susp_size,fl_s,fl_r,fl_rq,receive_q_size
3,8,2925,9020,4608,479,479,1166,120,3713,4213,4253,4263,1166,1859,3865,4191,3865,10851,14617,82,107,0,10074,10293,107,82,114,507,3,805,0,11070,10353,10353,74
3,9,3398,10022,4736,619,619,1518,80,4332,4832,4872,4882,1518,2429,4742,5465,4742,13866,19498,146,206,0,12296,12675,206,145,184,240,1,638,0,14245,12732,12732,133
3,10,3815,11037,4736,487,487,1105,96,4819,5319,5359,5369,1105,2217,3913,4427,3913,12158,16790,84,119,0,10113,10337,119,75,451,0,10,433,0,12011,10328,10328,191
3,11,4116,12038,4736,516,516,1169,71,5335,5835,5875,5885,1169,1838,4017,4176,4017,10579,14672,87,116,0,10359,10602,116,97,474,0,3,516,0,10810,10411,10411,0
3,12,4427,13038,4736,434,434,989,99,5769,6269,6309,6319,989,1417,3779,3395,3779,9073,12704,96,78,0,9772,9976,78,96,328,0,4,280,0,9248,10062,10062,86
3,13,4759,14039,4736,507,533,1197,94,6276,6776,6816,6826,1197,1874,3981,4268,3981,11795,16065,87,113,0,10448,10678,113,87,210,0,2,278,0,12025,10601,10601,14
3,14,5107,15039,4736,522,530,1269,48,6798,7298,7338,7348,1269,2191,4555,4729,4555,12326,17169,102,149,0,11971,12252,149,102,166,17,2,164,0,12607,12264,12264,26
3,15,5456,16040,4736,570,536,1277,60,7368,7868,7908,7918,1277,2044,4753,4598,4753,11574,15973,186,109,0,12272,12597,109,186,374,5,5,363,0,11899,12571,12571,0
3,16,5784,17040,4736,497,497,1048,55,7865,8365,8405,8415,1048,1217,3574,3313,3574,8724,12041,76,78,0,9383,9566,78,76,154,111,4,359,0,8908,9617,9617,51
3,17,6087,18041,4736,460,461,1036,121,8325,8825,8865,8875,1036,1911,3630,3983,3630,10340,14302,63,127,0,9174,9395,127,63,203,60,4,380,0,10560,9344,9344,0
3,18,6349,19044,4736,385,385,850,72,8710,9210,9250,9260,850,1375,3084,3075,3084,8351,11320,128,116,0,7923,8196,116,128,268,259,3,486,0,8625,8372,8372,176
3,19,6726,20045,4736,499,498,1118,40,9209,9709,9749,9759,1118,1828,3906,4064,3906,11162,15574,242,126,0,10975,11316,126,185,8,130,3,138,0,11560,11120,11120,0
3,20,6947,21046,4736,292,292,625,59,9501,10001,10001,10001,625,1334,2495,2584,2495,6788,9510,72,73,0,6685,6860,73,72,0,0,0,0,0,6963,6860,6860,0
3,21,6961,22047,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
3,22,6971,23048,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
3,23,6981,24048,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
3,24,6993,25049,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
1,0,274,1008,4480,390,390,978,120,1,391,431,441,978,1347,3269,3303,3269,8242,11149,79,80,0,8271,8460,80,79,380,40,4,396,0,8431,8517,8517,57
1,1,619,2010,4608,488,498,1078,43,379,879,919,929,1078,1921,3695,4077,3695,10776,14980,69,119,0,9360,9578,119,69,292,47,7,269,0,10974,9643,9643,122
1,2,1033,3011,4608,464,487,1130,97,843,1343,1383,1393,1130,1702,3843,3962,3843,10583,14356,79,93,0,9471,9673,93,79,140,304,8,458,0,10785,9582,9582,31
1,3,1445,4015,4608,498,465,1017,43,1341,1841,1881,1891,1017,1843,3525,3877,3525,10119,14250,119,135,0,9136,9419,135,119,127,1,9,204,0,10403,9423,9423,35
1,4,1806,5016,4608,482,482,1177,126,1823,2323,2363,2373,1177,2088,4267,4442,4267,11734,15975,147,110,0,10688,10975,110,147,191,246,5,405,0,12021,10969,10969,29
1,5,2105,6019,4608,380,380,909,97,2203,2703,2743,2753,909,1593,2981,3411,2981,9050,12570,56,71,0,7930,8087,71,56,81,165,3,296,0,9204,8095,8095,48
1,6,2453,7020,4608,544,555,1224,96,2747,3247,3287,3297,1224,2115,4490,4563,4490,11828,16055,128,118,0,11419,11685,118,118,307,480,13,632,0,12104,11678,11678,63
1,7,2710,8021,4608,437,426,937,93,3184,3684,3724,3734,937,1298,3583,3172,3583,8517,11942,113,101,0,9233,9477,101,114,459,80,9,379,0,8761,9482,9482,68
1,8,2983,9023,4736,489,489,1118,43,3673,4173,4213,4223,1118,1513,4072,3749,4072,9859,13075,84,45,0,10464,10614,45,75,867,0,18,912,0,10018,10860,10860,314
1,9,3372,10043,4736,493,530,1175,33,4166,4666,4706,4716,1175,2224,5032,4574,5032,12091,17477,185,195,0,13101,13527,195,203,185,100,21,100,0,12464,13192,13192,1
1,10,3696,11058,4736,680,643,1379,18,4846,5346,5373,5383,1379,852,4728,3610,4728,8849,11966,145,51,0,12406,12633,51,145,459,0,9,599,0,9054,12487,12487,0
1,11,4026,12059,4736,439,475,1039,74,5285,5785,5825,5835,1039,1679,4063,3757,4063,9640,13734,102,109,0,10556,10797,109,102,337,0,4,262,0,9881,10797,10797,0
1,12,4348,13060,4736,534,498,1127,80,5819,6319,6359,6369,1127,1678,3700,3932,3700,10068,14054,67,95,0,9805,9997,95,67,208,0,3,208,0,10260,9997,9997,0
1,13,4677,14060,4736,431,432,1028,116,6250,6750,6790,6800,1028,1602,3886,3658,3887,9606,13134,144,92,0,10165,10431,92,144,328,0,3,338,0,9872,10648,10648,217
1,14,5011,15061,4736,598,595,1277,43,6848,7348,7388,7398,1277,1760,4671,4314,4670,11458,15941,148,109,0,12683,12970,109,148,95,20,2,185,0,11745,12814,12814,103
1,15,5369,16062,4736,561,561,1268,120,7409,7909,7949,7959,1268,2357,4567,4893,4567,12144,16846,136,199,0,11449,11814,199,136,177,75,3,376,0,12509,11732,11732,21
1,16,5671,17062,4736,340,360,887,150,7749,8249,8289,8299,887,1512,3203,3286,3203,8504,11934,90,91,0,8254,8464,91,90,194,92,4,232,0,8715,8463,8463,20
1,17,5967,18063,4736,547,547,1146,70,8296,8796,8836,8846,1146,1236,3986,3528,3986,9030,12451,113,57,0,10357,10557,57,113,168,145,7,339,0,9227,10636,10636,99
1,18,6196,19066,4736,393,373,852,90,8689,9189,9229,9239,852,1028,3212,2732,3212,7084,9799,116,137,0,8450,8733,137,116,114,216,3,356,0,7367,8768,8768,137
1,19,6668,20069,4736,470,483,1075,50,9159,9659,9699,9709,1075,1791,3942,3941,3942,11298,15602,184,169,0,10673,11053,169,182,4,76,2,83,0,11681,10838,10838,3
1,20,6919,21069,4736,342,312,699,63,9501,10001,10001,10001,699,1077,2569,2475,2569,6557,9115,77,92,0,6998,7197,92,77,0,0,0,0,0,6756,7194,7194,0
1,21,6927,22070,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
1,22,6939,23071,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
1,23,6951,24071,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
1,24,6963,25072,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
