pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_bc,beb_dir,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,send_q_size,susp_size,fl_s,fl_r,fl_rq,receive_q_size
20,0,105,1051,4992,17,19,50,0,1,18,28,38,50,1691,2544,2641,2545,3383,5313,1041,800,0,3336,5254,800,947,452,729,158,711,0,5404,5519,5519,265
20,1,221,2081,5120,17,16,40,6,1,35,47,57,40,609,1134,1369,1133,1934,3084,595,583,0,1837,3203,583,624,319,855,95,930,0,3250,2979,2979,70
20,2,310,3088,5120,22,21,55,0,1,57,69,79,55,1213,2381,2258,2381,3079,5646,992,758,0,3129,5038,758,974,217,657,61,621,0,4989,5123,5123,155
20,3,404,4124,5120,25,25,66,0,1,82,94,104,66,1098,2356,2352,2356,2905,5035,748,719,0,2859,4521,719,761,317,995,74,843,0,4552,4396,4396,30
20,4,511,5136,5248,15,16,59,0,1,97,109,119,59,937,2006,2058,2006,2825,4863,937,724,0,2866,4600,723,851,379,1184,93,863,0,4665,4872,4872,315
20,5,609,6141,5248,21,20,54,0,1,118,130,140,54,1070,2125,2096,2125,3068,5421,711,825,0,2895,4716,826,809,198,1104,75,606,0,4765,4531,4531,130
20,6,708,7148,5248,17,17,46,0,1,135,147,157,46,899,1762,1773,1762,2756,4472,902,967,0,2461,4428,967,836,287,1349,66,663,0,4785,4433,4433,135
20,7,799,8166,5376,21,22,64,0,1,156,168,178,64,1224,2501,2440,2501,2725,5180,630,686,0,2832,4407,686,711,325,1337,91,648,0,4221,4277,4277,5
20,8,895,9194,5376,19,19,54,0,1,175,187,197,54,1098,2138,2124,2139,2894,5023,942,676,0,2712,4343,676,782,323,1464,131,646,0,4395,4557,4557,290
20,9,987,10230,5376,19,17,46,0,1,194,206,216,46,763,1582,1637,1581,2174,3870,652,700,0,2195,3784,700,715,199,1519,63,681,0,3578,3474,3474,70
20,10,1073,11273,5376,12,13,40,0,1,206,218,228,40,652,1383,1412,1384,2224,3734,553,563,0,1848,2972,563,416,318,1587,93,583,0,3499,3065,3065,163
20,11,1171,12286,5376,5,4,36,0,1,211,223,233,36,810,1567,1494,1568,1902,3237,719,695,0,2079,3673,695,720,329,1885,158,771,0,3449,3885,3885,399
20,12,1277,13291,5376,31,31,71,0,1,242,254,264,71,1206,2563,2555,2562,3026,5508,980,928,0,3119,5275,928,1050,333,1952,110,844,0,5103,4926,4926,50
20,13,1373,14302,5376,16,18,55,0,1,258,270,280,55,1087,2121,2132,2121,2756,5048,848,887,0,2466,4349,887,827,185,1906,67,684,0,4671,4520,4520,221
20,14,1473,15304,5376,20,18,59,0,1,278,290,300,59,974,2039,2095,2039,2657,4611,679,705,0,2578,4171,705,711,340,1975,81,825,0,4221,3947,3947,26
20,15,1560,16314,5504,17,25,54,0,1,295,307,317,54,1269,2469,2295,2469,2618,4872,840,862,0,3095,4958,862,834,191,2273,69,866,0,4500,4937,4937,5
20,16,1661,17327,5504,32,24,66,0,1,327,339,349,66,1221,2299,2475,2299,2788,5421,1095,840,0,2573,4526,840,945,457,1926,215,708,0,4903,4670,4670,149
20,17,1766,18336,5632,18,18,52,0,1,345,357,367,52,916,1933,1904,1933,2103,3754,1172,895,0,2395,4313,894,873,357,2311,173,960,0,4329,5132,5132,968
20,18,1874,19345,5632,15,17,35,4,1,360,372,382,35,1026,1733,1691,1734,3074,4954,1128,1405,0,3056,6049,1406,1399,389,2776,159,772,0,5788,5468,5468,387
20,19,1970,20352,5760,15,14,28,0,1,375,384,394,28,552,1094,1084,1094,2419,3835,1296,475,0,1404,2515,475,542,446,2491,188,440,0,4370,4242,4153,2044
20,20,2086,21385,5760,7,6,25,1,1,382,394,404,25,330,713,805,712,1334,2204,1077,1444,0,1999,4771,1444,1107,58,3001,17,375,0,4034,3485,2741,14
20,21,2198,22395,5760,5,7,19,1,1,387,399,409,19,494,969,855,969,1462,2235,668,563,0,1120,2276,562,474,369,3333,123,457,0,2831,2632,2632,372
20,22,2288,23434,5760,13,12,42,0,1,400,412,422,42,783,1570,1581,1571,2341,3792,925,753,0,2427,4348,754,978,318,3677,78,808,0,4200,3930,3930,0
20,23,2395,24460,5760,16,8,34,1,1,416,428,438,34,690,1347,1336,1347,2347,3428,703,1041,0,2145,4125,1040,764,385,4170,151,1064,0,4120,4173,4173,121
20,24,2499,25469,5760,18,22,55,0,1,434,446,456,55,1146,2216,2191,2217,3186,5866,923,1039,0,2795,4934,1040,928,232,4034,79,575,0,5178,5006,5006,197
20,25,2595,26477,5760,25,20,59,0,1,459,471,481,59,1181,2228,2302,2228,3119,5316,828,953,0,2832,4800,953,843,164,4204,45,695,0,5008,4733,4733,157
20,26,2694,27492,5760,25,25,69,0,1,484,496,506,69,1318,2634,2629,2633,3314,5789,726,822,0,3079,4809,822,729,346,4262,109,849,0,5042,4666,4666,14
20,27,2793,28504,5888,26,26,67,0,10,510,522,532,67,1224,2522,2497,2523,2927,5625,767,941,0,3063,4945,941,767,435,4158,160,648,0,4815,5003,5003,81
20,28,2888,29523,5888,20,22,70,0,30,530,542,552,70,1309,2613,2639,2613,3042,5532,1072,992,0,3135,5377,992,1072,268,4350,65,808,0,5041,5273,5273,26
20,29,2986,30529,5888,26,24,74,0,56,556,568,578,74,1192,2526,2598,2526,2890,5488,918,903,0,2988,4845,903,778,363,4327,118,808,0,4877,4862,4862,46
20,30,3080,31552,5888,23,23,63,0,79,579,591,601,63,1197,2425,2394,2426,3065,5266,785,899,0,2849,4780,899,859,243,4551,66,1001,0,4909,4719,4719,133
20,31,3183,32559,5888,20,20,61,0,99,599,611,621,61,1157,2322,2316,2322,3081,5764,817,900,0,2893,4852,900,881,246,4309,83,641,0,4966,4772,4772,53
20,32,3279,33567,5888,19,19,63,0,118,618,630,640,63,978,2155,2175,2155,2593,4473,808,894,0,2763,4622,894,796,207,4735,82,936,0,4455,4705,4705,144
20,33,3378,34580,5888,21,19,62,0,139,639,651,661,62,1074,2291,2252,2292,2801,5590,996,830,0,2697,4676,830,972,222,4380,80,478,0,4545,4608,4608,113
20,34,3475,35596,5888,23,24,71,0,162,662,674,684,71,1235,2598,2584,2597,3098,5606,1034,1016,0,3072,5328,1016,1064,260,4454,76,554,0,5328,5306,5306,138
20,35,3578,36616,5888,23,22,62,0,185,685,697,707,62,1092,2193,2270,2194,2802,4755,1006,910,0,2660,4528,910,798,430,4744,119,869,0,4838,4901,4901,553
20,36,3670,37623,6016,14,16,42,0,199,699,711,721,42,1031,1916,1829,1916,2462,4662,752,747,0,2848,4692,747,916,166,4563,44,500,0,4121,4183,4183,45
20,37,3768,38642,6016,24,22,59,0,223,723,735,745,59,834,1864,1955,1864,2331,4103,692,749,0,2461,4024,749,638,348,4811,104,690,0,3830,4046,4046,67
20,38,3860,39838,6016,12,12,51,0,235,735,747,757,51,995,1990,1964,1990,2850,4721,768,795,0,2530,4326,795,805,380,4974,162,783,0,4593,4114,4114,35
20,39,3944,40839,6016,15,23,45,0,250,750,760,770,45,773,1736,1628,1737,2266,4374,868,562,0,2456,3798,562,642,274,4824,77,303,0,3876,4291,4291,528
20,40,4032,41923,6016,9,1,23,0,259,759,770,780,23,303,540,740,540,1565,1947,707,1065,0,1525,3512,1065,695,174,5251,49,661,0,3220,2970,2970,121
20,41,4133,42930,6016,13,19,57,0,272,772,784,794,57,878,2031,1961,2030,2426,4470,842,802,0,2495,4172,802,704,362,5388,166,578,0,4250,4242,4242,191
20,42,4221,43934,6016,25,19,56,0,297,797,809,819,56,1211,2225,2275,2225,2846,5051,722,818,0,2517,4297,818,782,467,5461,116,648,0,4566,4155,4155,49
20,43,4323,44939,6016,21,21,66,0,318,818,830,840,66,1137,2369,2391,2370,2603,4981,851,829,0,3039,4897,829,864,274,5370,87,661,0,4463,4959,4959,112
20,44,4427,45942,6016,18,20,67,0,336,836,848,858,67,1153,2432,2426,2431,2989,5340,1075,984,0,3033,5226,984,1030,294,5633,111,736,0,5208,5184,5184,70
20,45,4519,46945,6016,21,19,61,0,357,857,869,879,61,1018,2152,2177,2152,2437,4559,814,793,0,2739,4452,792,756,284,5608,125,790,0,4223,4480,4480,98
20,46,4623,47947,6016,18,20,56,0,375,875,887,897,56,1133,2242,2197,2242,3030,5466,823,921,0,2730,4743,922,913,243,5514,113,552,0,4933,4731,4731,87
20,47,4722,48949,6016,24,23,65,0,399,899,911,921,65,1179,2413,2414,2413,2982,5134,1145,968,0,2976,5224,968,1120,309,5769,112,814,0,5255,5361,5361,224
20,48,4823,49957,6016,23,22,67,0,422,922,934,944,67,1051,2258,2324,2258,2733,5183,993,952,0,2825,4968,952,1008,134,5747,58,688,0,4858,4822,4822,78
20,49,4920,50961,6016,24,24,62,0,446,946,958,968,62,1246,2416,2424,2416,3017,5215,852,862,0,2877,4703,862,788,399,5901,108,914,0,4901,4745,4745,129
20,50,5019,51984,6016,15,16,44,0,461,961,971,981,44,1031,1926,1867,1927,2408,4602,755,747,0,2633,4267,747,727,449,5643,131,587,0,4090,4436,4436,332
20,51,5122,53000,6016,25,24,61,0,486,986,998,1008,61,959,2052,2118,2052,2801,5015,977,937,0,2906,4939,937,911,375,5780,180,563,0,4848,4781,4781,266
20,52,5221,54009,6016,16,20,62,0,502,1002,1014,1024,62,1175,2409,2353,2409,2732,5049,804,840,0,2849,4706,840,851,402,5887,136,599,0,4556,4815,4815,375
20,53,5322,55031,6016,20,16,57,0,522,1022,1034,1044,57,943,1944,2026,1943,2535,4649,947,921,0,2828,4862,921,922,318,6010,126,639,0,4359,4495,4495,8
20,54,5411,56058,6016,16,16,42,0,538,1038,1050,1060,42,649,1400,1447,1400,2085,3367,686,631,0,2033,3584,631,760,199,6267,47,804,0,3562,3565,3565,0
20,55,5502,57077,6016,21,20,57,0,559,1059,1071,1081,57,1080,2151,2163,2152,2509,4800,679,700,0,2326,3837,700,641,335,6117,154,676,0,3864,3881,3881,108
20,56,5595,58091,6016,22,22,68,0,581,1081,1093,1103,68,1243,2521,2535,2520,3078,5607,871,818,0,3076,4989,818,918,295,6209,118,682,0,4947,4940,4940,59
20,57,5699,59126,6016,25,25,56,0,606,1106,1115,1125,56,1225,2358,2289,2358,2770,5006,1148,1044,0,2876,5177,1044,1078,362,6190,189,735,0,5124,5160,5160,120
20,58,5808,60154,6016,18,18,48,0,624,1124,1136,1146,48,994,1999,1906,2000,2865,5097,876,908,0,2595,4550,908,879,331,6230,161,465,0,4532,4639,4639,291
20,59,5901,61243,6016,6,5,5,0,630,1130,1137,1147,6,45,178,148,179,1268,1846,1611,200,0,761,1193,200,182,444,6141,215,369,0,2757,3395,2443,1908
20,60,6003,62295,6016,16,16,53,0,646,1146,1158,1168,53,936,2003,1943,2003,2644,4417,1023,1385,0,3137,6339,1385,1533,457,6567,164,656,0,5068,4556,4475,44
20,61,6100,63336,6016,25,24,55,0,671,1171,1183,1193,55,1113,2091,2158,2091,2669,4504,811,883,0,2633,4607,883,906,259,6973,79,992,0,4497,4578,4578,86
20,62,6199,64360,6016,18,18,52,0,689,1189,1201,1211,52,1116,2159,2104,2159,3139,5662,751,794,0,2602,4229,793,677,248,6786,98,573,0,4843,4526,4526,383
20,63,6299,65372,6144,22,25,66,0,711,1211,1223,1233,66,1238,2529,2492,2528,2868,5367,613,898,0,3149,4979,899,734,305,6694,135,585,0,4559,4591,4591,53
20,64,6396,66387,6144,22,21,58,0,733,1233,1245,1255,58,1026,2036,2128,2037,2709,4631,1117,863,0,2868,4888,863,995,417,7008,121,797,0,4869,5028,5028,201
20,65,6504,67458,6144,22,21,60,0,755,1255,1267,1277,60,1197,2349,2337,2348,3432,5756,817,774,0,2971,4755,774,822,402,6980,88,811,0,5202,4478,4478,82
20,66,6593,68476,6144,21,22,62,0,776,1276,1288,1298,62,1177,2425,2355,2425,2683,5088,750,911,0,2833,4626,911,706,329,7203,129,761,0,4504,4526,4526,34
20,67,6693,69489,6144,23,21,49,0,799,1299,1311,1321,49,1069,2004,2000,2004,2645,4684,843,735,0,2456,4191,735,826,271,7223,126,722,0,4403,4157,4157,0
20,68,6794,70502,6144,19,19,60,0,818,1318,1330,1340,60,1034,2124,2174,2125,2719,4988,799,818,0,2653,4525,818,881,266,7093,108,627,0,4516,4680,4680,155
20,69,6904,71520,6144,23,23,71,0,841,1341,1353,1363,71,1067,2289,2416,2288,3043,5197,927,948,0,2884,4814,948,807,516,7254,189,888,0,5078,4920,4920,266
20,70,7010,72530,6144,15,19,57,0,856,1356,1368,1378,57,1093,2333,2176,2334,3009,5363,854,954,0,2983,5090,954,989,291,7462,115,711,0,4997,4954,4954,130
