pid,round,cpu,wc,ram,seq_nr,log_r,urb_s,urb_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
2,2,651,4307,7808,4096,9832,512,4800,1536,4800,7680,4800,11865,21153,28,15,0,6676,6713,15,14,1790,1356,13,11923,6827,6827,114
2,3,715,5678,7936,0,3496,0,1361,462,1361,2310,1361,13131,16412,18,12,0,1974,2009,12,14,1487,544,13,13165,1786,1786,0
2,4,790,6842,8192,0,6264,0,3351,645,3351,3225,3351,2421,6183,11,1,0,3485,3493,1,6,4106,628,24,2370,4788,3594,101
2,5,1385,7844,9084,4096,20152,512,7655,2221,7655,11105,7655,27128,45174,57,37,0,18282,18383,37,37,1687,2712,13,27146,18398,18398,116
2,6,1966,8846,10164,0,21896,0,7700,2500,7700,12500,7700,18299,32373,44,38,0,17285,17391,38,40,1040,1040,10,18431,17427,17427,155
2,7,2548,9848,11512,12288,27056,1536,10155,3388,10155,16940,10155,25710,42015,43,51,0,19642,19765,51,43,1816,1135,13,25816,19669,19669,69
2,8,3183,10850,12920,4096,26144,512,9458,3065,9458,15325,9458,23865,39184,64,58,0,18139,18276,58,53,2698,1199,14,24037,18711,18711,504
2,9,3754,11861,14664,8192,23344,1024,9083,3281,9083,16405,9083,24233,40215,43,51,0,20718,20830,51,34,1531,926,12,24371,20788,20788,515
2,10,4371,12871,16336,6144,29792,768,10776,3382,10776,16910,10776,25035,43157,57,56,0,20023,20171,56,62,1379,1416,10,25185,20286,19736,115
2,11,5018,13872,17872,10240,24696,1280,9597,3328,9597,16640,9597,20075,35432,52,49,0,15703,15824,49,49,1645,2595,10,20221,15845,15845,138
2,12,5658,14873,19024,12288,26768,1536,9639,3028,9639,15140,9639,21368,37842,53,41,0,18354,18478,41,54,1322,1369,10,21507,18440,18440,101
2,13,6299,15881,20560,6144,25104,768,9558,3328,9558,16640,9558,22045,37717,36,36,0,20036,20133,36,33,2209,1369,10,22162,20685,20685,670
2,14,6967,16887,22132,6144,24576,768,9063,3206,9063,16027,9064,24023,39404,39,39,0,21866,21973,39,39,1172,1706,12,24151,21323,21323,21
2,15,7547,17888,23584,18432,26272,2304,9701,2876,9701,14384,9700,23330,39529,45,44,0,20652,20769,44,45,755,1561,7,23469,20747,20747,0
2,16,7617,18888,23712,1696,1696,212,636,212,636,1060,636,2013,4038,3,4,0,1505,1542,4,3,755,1049,7,2070,1542,1542,0
2,17,7623,19889,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,18,7633,20889,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,755,1049,7,50,30,30,1
2,19,7643,21890,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,755,1049,7,50,30,30,2
2,20,7652,22891,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,45,28,28,0
2,21,7660,23891,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,22,7677,24892,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,23,7686,25893,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,24,7691,26893,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,25,7701,27894,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
