pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_bc,beb_dir,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,send_q_size,susp_size,fl_s,fl_r,fl_rq,receive_q_size
4,0,415,1411,4480,240,241,531,22,1,241,271,281,531,1511,3987,3635,3987,6817,9977,320,227,0,7064,7624,227,288,336,82,32,475,0,7414,7823,7823,199
4,1,777,2452,4608,228,231,573,16,1,469,499,509,573,2242,4507,4534,4507,9494,13856,577,672,0,8815,10137,672,603,96,465,19,769,0,10479,9980,9980,198
4,2,1161,3454,4608,260,280,602,9,229,729,759,769,602,2521,5111,4929,5111,9875,15091,827,808,0,10053,11744,808,833,296,319,39,482,0,11560,11617,11617,72
4,3,1512,4473,4736,270,243,501,60,499,999,1001,1001,501,1496,3606,3500,3607,7275,11159,355,320,0,7242,7952,320,345,108,54,10,98,0,8000,7965,7965,85
4,4,1549,5474,4736,2,2,0,0,501,1001,1001,1001,0,9,21,9,20,32,139,11,17,0,147,238,17,21,0,1,0,0,0,110,122,122,1
4,5,1561,6475,4736,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,50,49,49,2
4,6,1571,7478,4736,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,1,0,0,0,45,47,47,0
4,7,1582,8478,4736,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,50,50,50,0
2,0,393,1688,4352,170,170,411,49,1,171,201,211,411,1374,2375,3018,2375,6658,9072,159,186,0,4820,5157,186,113,453,366,46,868,0,7053,5338,5338,181
2,1,804,2692,4480,185,185,454,43,1,356,381,391,454,1844,3578,3660,3579,7304,11076,432,405,0,6883,7726,405,390,626,80,88,756,0,8162,7986,7986,441
2,2,1182,3696,4608,280,285,704,0,136,636,666,676,704,2712,5547,5528,5547,10935,16643,714,926,0,11257,13034,926,802,125,263,21,600,0,12625,12656,12656,63
2,3,1521,4700,4608,269,264,555,28,405,905,935,945,555,2019,4403,4239,4403,8318,12862,557,588,0,8697,9889,588,557,307,74,22,295,0,9508,9971,9971,170
2,4,1768,5701,4608,96,96,152,5,501,1001,1001,1001,152,527,1185,1135,1185,2424,3854,167,109,0,2421,2746,109,167,0,2,0,0,0,2750,2576,2576,0
2,5,1777,6703,4608,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,2,0,0,0,50,50,50,0
2,6,1789,7733,4608,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,0,0,0,45,46,46,0
2,7,1855,8755,4608,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,0,0,0,45,46,46,0
5,0,403,1745,4608,286,289,639,0,1,287,317,327,639,1425,5356,3981,5356,7145,10668,522,258,0,9820,10636,258,506,189,12,28,458,0,7974,10650,10650,14
5,1,808,2776,4608,290,299,691,2,77,577,607,617,691,2797,5530,5561,5531,10585,15854,732,856,0,10433,12036,856,699,554,458,58,749,0,12152,12135,12135,216
5,2,1199,3778,4608,287,278,646,4,364,864,894,904,646,2311,4780,4895,4779,9968,14957,664,683,0,9473,10916,683,713,296,108,26,655,0,11360,10739,10739,39
5,3,1455,4779,4608,137,134,279,47,501,1001,1001,1001,279,940,2078,2056,2078,4347,7059,190,240,0,4491,4970,240,190,0,0,0,0,0,4798,4931,4931,0
5,4,1468,5779,4608,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,50,50,0
5,5,1481,6780,4608,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,50,50,0
5,6,1489,7780,4608,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,45,46,46,0
5,7,1502,8781,4608,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,50,50,0
3,0,308,1643,4480,160,160,394,69,1,161,191,201,394,1320,2328,2896,2328,6569,8739,136,184,0,4386,4706,184,99,529,388,37,820,0,6938,4833,4833,127
3,1,651,2648,4608,204,204,531,44,1,365,395,405,531,1928,3832,4052,3832,7724,11651,430,418,0,7328,8178,418,383,631,298,107,945,0,8616,8061,8061,10
3,2,1040,3654,4608,277,279,679,0,142,642,672,682,679,2699,5426,5415,5427,10831,16535,951,763,0,10495,12342,763,1035,124,296,17,657,0,12595,12286,12286,8
3,3,1395,4658,4736,283,288,644,16,425,925,955,965,644,1852,4731,4428,4731,8700,13128,594,543,0,9032,10215,543,594,505,53,21,690,0,9881,10230,10230,78
3,4,1546,5658,4736,76,69,139,30,501,1001,1001,1001,139,595,1169,1151,1169,2721,4562,98,168,0,2698,3013,168,98,0,16,0,0,0,3037,2935,2935,0
3,5,1555,6660,4736,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,16,0,0,0,50,50,50,0
3,6,1565,7708,4736,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,16,0,0,0,50,49,49,3
3,7,1577,8713,4736,0,0,0,0,501,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,16,0,0,0,50,50,50,0
1,0,128,1491,4480,80,80,305,102,1,81,111,121,305,329,922,1549,922,3441,4684,21,19,0,1731,1790,19,21,87,695,4,306,0,3536,1790,1790,0
1,1,461,2612,4480,141,154,379,64,1,222,252,262,379,1710,3142,3226,3143,7541,11295,259,381,0,5686,6367,381,253,184,285,16,445,0,8223,6448,6448,94
