pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
5,69,26878,72805,6528,0,0,18672,0,2335,0,2334,0,0,9,0,0,4977,4990,0,13,256,28589,1,9,4428,4428,22
5,70,26896,73805,6528,0,0,2336,0,292,0,292,0,0,3,0,0,644,647,0,3,0,28589,0,3,625,625,0
5,71,26901,74806,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,72,26905,75807,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,73,26911,76808,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,74,26917,77808,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,75,26926,78809,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,76,26932,79811,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,77,26940,80812,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,78,26946,81813,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,79,26953,82814,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,80,26959,83816,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,81,26967,84816,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,82,26974,85817,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,83,26982,86818,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
