pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_bc,beb_dir,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,send_q_size,susp_size,fl_s,fl_r,fl_rq,receive_q_size
4,0,392,1027,4480,166,168,537,6,1,167,197,207,537,2118,4147,4266,4147,7873,11411,526,506,0,7840,8920,506,526,226,215,26,728,0,8955,9017,9017,97
4,1,805,2052,4736,208,210,592,1,1,375,396,406,592,2320,4697,4688,4698,9713,14489,658,616,0,9440,10762,616,658,151,36,25,640,0,11032,10804,10804,139
4,2,1186,3057,4736,229,225,666,0,104,604,634,644,666,2548,5110,5212,5109,10798,15896,681,789,0,10083,11552,789,636,408,452,55,754,0,12318,11416,11416,56
4,3,1582,4059,4864,279,287,766,6,383,883,913,923,766,2873,5898,5937,5898,11449,17469,871,874,0,11603,13375,874,849,426,378,32,671,0,13244,13375,13375,59
4,4,1959,5062,4864,241,238,611,15,624,1124,1136,1146,611,2519,5067,4963,5067,10263,15348,624,668,0,10555,11916,668,646,349,251,85,549,0,11572,11888,11888,25
4,5,2342,6064,4864,242,239,648,0,866,1366,1396,1406,648,2826,5452,5418,5452,10963,16314,692,687,0,11355,12784,687,692,498,297,109,688,0,12391,12883,12883,126
4,6,2712,7074,4992,252,250,594,19,1118,1618,1648,1658,594,2605,5011,4981,5011,10236,15294,718,684,0,10246,11667,684,689,370,488,45,611,0,11683,11632,11632,91
4,7,3123,8082,4992,267,275,740,22,1385,1885,1915,1925,740,2359,5511,5319,5511,10495,15856,831,692,0,11134,12717,692,844,317,280,40,569,0,12068,12705,12705,81
4,8,3467,9085,4992,292,285,681,30,1677,2177,2207,2217,681,2293,4905,5017,4905,9553,14478,617,607,0,9568,10840,607,617,509,273,62,661,0,10822,10818,10818,59
4,9,3828,10094,4992,281,280,714,10,1958,2458,2488,2498,714,2730,5574,5586,5575,11129,16655,801,757,0,11750,13277,757,721,537,444,56,721,0,12736,13328,13328,184
4,10,4193,11101,4992,297,297,722,27,2255,2755,2778,2788,723,2702,5517,5592,5517,11165,16889,519,566,0,10970,12158,566,572,439,456,22,591,0,12299,11989,11989,29
4,11,4567,12104,4992,281,291,656,16,2536,3036,3066,3076,656,2584,5401,5208,5402,10667,15967,552,572,0,10589,11759,572,552,103,477,8,549,0,11835,11811,11811,99
4,12,4933,13112,4992,281,278,745,22,2817,3317,3347,3357,745,2441,5435,5421,5435,10835,15992,553,591,0,10772,11965,591,553,652,577,93,861,0,12016,12142,12142,278
4,13,5327,14114,4992,252,245,679,5,3069,3569,3599,3609,679,2638,5317,5354,5318,10332,15630,905,696,0,11394,12906,696,768,472,632,92,917,0,11981,12757,12757,129
4,14,5684,15121,4992,227,237,615,16,3296,3796,3826,3836,615,2442,5230,4902,5229,10188,15463,730,717,0,9951,11469,717,755,335,476,72,544,0,11679,11471,11471,131
4,15,6070,16123,4992,299,290,813,0,3595,4095,4125,4135,813,2965,6158,6217,6158,11790,17747,782,855,0,12302,14036,855,833,359,371,55,804,0,13477,14065,14065,160
4,16,6481,17128,4992,216,215,611,0,3811,4311,4341,4351,611,2381,4760,4825,4761,9086,13934,916,686,0,9554,11122,686,833,662,403,89,780,0,10733,11092,11092,126
4,17,6869,18136,4992,189,190,520,2,4000,4500,4529,4539,520,1764,3946,3844,3947,8086,12261,588,568,0,8007,9253,568,634,239,300,18,480,0,9280,9564,9564,439
4,18,7255,19155,4992,269,275,761,0,4269,4769,4799,4809,761,2859,5822,5903,5821,11601,17367,580,686,0,11684,13020,686,598,453,312,50,617,0,12896,12685,12685,210
4,19,7621,20162,4992,232,223,545,4,4501,5001,5001,5001,545,2275,4560,4455,4560,9610,14535,594,599,0,9942,11181,599,594,107,388,17,258,0,10848,10971,10971,0
4,20,7637,21163,4992,0,0,0,0,4501,5001,5001,5001,0,10,14,10,14,66,334,19,13,0,68,150,13,19,0,223,0,0,0,148,150,150,0
4,21,7666,22164,4992,0,0,0,0,4501,5001,5001,5001,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,223,0,0,0,50,49,49,0
4,22,7676,23164,4992,0,0,0,0,4501,5001,5001,5001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,223,0,0,0,50,50,50,0
4,23,7689,24165,4992,0,0,0,0,4501,5001,5001,5001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,223,0,0,0,50,50,50,0
4,24,7714,25165,4992,0,0,0,0,4501,5001,5001,5001,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,223,0,0,0,50,50,50,0
2,0,376,1025,4480,153,156,534,6,1,154,184,194,534,1940,3927,4076,3927,7528,11099,524,473,0,7320,8341,473,501,335,102,52,505,0,8575,8486,8486,145
2,1,776,2030,4608,205,204,554,5,1,359,379,389,554,2318,4561,4534,4561,9075,13504,704,592,0,8967,10332,591,727,199,307,51,610,0,10415,10324,10324,137
2,2,1141,3032,4864,232,230,638,4,91,591,621,631,638,2503,5038,5055,5038,9536,14362,686,691,0,10286,11712,692,686,575,412,36,847,0,10956,11583,11583,8
2,3,1496,4038,4864,260,260,643,2,351,851,881,891,643,2598,5570,5170,5570,10506,16034,824,762,0,10975,12596,762,812,495,183,86,489,0,12132,12933,12933,347
2,4,1890,5042,4992,252,252,680,7,603,1103,1133,1143,680,2527,5262,5247,5262,10165,15081,775,599,0,10490,11912,598,774,150,179,24,819,0,11588,11635,11635,70
