pid,round,cpu,wc,m_cmpsd,seq_nr,log,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,fl_s,fl_r
20,0,123,1828,512,4096,1346,512,0,2052,972367,0,0,14,0,0,0,0,2052,0
20,1,249,3766,0,0,2352,0,0,1534,554702,0,0,8,0,0,0,0,1022,0
20,2,401,5704,0,0,398,0,0,1022,882437,0,0,15,0,0,0,0,511,0
20,3,571,7420,0,0,0,0,0,512,859592,0,0,13,0,0,0,0,511,0
20,4,731,9017,0,0,0,0,0,0,774747,0,0,12,0,0,0,0,0,0
20,5,923,11133,512,4096,778,512,0,2049,952290,0,262,17,0,262,262,0,2178,130
20,6,1037,13108,0,0,2352,0,0,2343,999471,0,467,15,0,467,467,0,771,259
20,7,1108,14185,0,0,966,0,0,512,386235,0,186,9,0,186,186,0,698,186
20,8,1314,16320,0,0,0,0,0,511,944708,0,270,16,0,270,270,0,512,1
20,9,1527,18379,0,0,0,0,0,0,979804,0,465,17,0,465,465,0,216,216
20,10,1785,20971,0,0,0,0,0,584,1247028,0,359,22,0,359,359,0,111,111
20,11,1885,22087,0,0,0,0,0,0,482543,0,0,8,0,0,0,0,0,0
20,12,2108,24215,0,0,0,0,0,0,1045760,0,474,17,0,474,474,0,169,169
20,13,2310,26541,0,0,0,0,0,0,1007642,0,392,17,0,392,392,0,140,140
20,14,2510,28703,0,0,0,0,0,290,926453,0,198,16,0,198,198,0,309,19
20,15,2604,29733,0,0,0,0,0,0,406372,0,234,8,0,234,234,0,234,234
20,16,2802,31952,0,0,0,0,0,0,982772,0,71,16,0,71,71,0,0,0
20,17,2890,33001,0,0,0,0,0,0,401448,0,0,8,0,0,0,0,0,0
20,18,3105,35448,0,0,0,0,0,1,1067112,0,0,17,0,0,0,0,1,0
20,19,3338,38016,0,0,0,0,0,288,1155063,0,0,18,0,0,0,0,0,0
20,20,3557,40558,0,0,0,0,0,0,1076115,0,0,19,0,0,0,0,0,0
20,21,3638,41596,0,0,0,0,0,0,408190,0,0,8,0,0,0,0,0,0
20,22,3852,44020,0,0,0,0,0,0,1125568,0,0,18,0,0,0,0,0,0
20,23,4066,46643,0,0,0,0,0,290,1034259,0,0,17,0,0,0,0,0,0
20,24,4333,49775,0,0,0,0,0,0,1363399,0,0,23,0,0,0,0,0,0
20,25,4547,52358,0,0,0,0,0,0,1068334,0,0,17,0,0,0,0,0,0
20,26,4796,55271,0,0,0,0,0,0,1265609,0,0,21,0,0,0,0,0,0
20,27,4987,57724,0,0,0,0,0,0,890075,0,0,17,0,0,0,0,0,0
20,28,5241,60855,0,0,0,0,0,0,1131333,0,0,19,0,0,0,0,0,0
20,29,5453,63488,0,0,0,0,0,0,681844,0,0,17,0,0,0,0,0,0
20,30,5537,64594,0,0,0,0,0,0,164523,0,0,7,0,0,0,0,0,0
20,31,5811,67765,0,0,0,0,0,0,1071327,0,0,23,0,0,0,0,0,0
20,32,6042,70660,0,0,0,0,0,289,1084680,0,0,20,0,0,0,0,0,0
20,33,6251,73222,0,0,0,0,0,0,969229,0,0,19,0,0,0,0,0,0
20,34,6495,76361,0,0,0,0,0,0,1232533,0,0,22,0,0,0,0,0,0
20,35,6712,79224,0,0,0,0,0,290,1026723,0,0,22,0,0,0,0,0,0
20,36,6977,82619,0,0,0,0,0,0,1355931,0,0,22,0,0,0,0,0,0
20,37,7175,85358,0,0,0,0,0,0,992345,0,0,20,0,0,0,0,0,0
20,38,7422,88586,0,0,0,0,0,0,1245842,0,0,23,0,0,0,0,0,0
20,39,7626,91219,0,0,0,0,0,0,938430,0,0,20,0,0,0,0,0,0
20,40,7864,94507,0,0,0,0,0,0,1159829,0,0,22,0,0,0,0,0,0
20,41,7935,95559,0,0,0,0,0,0,313119,0,0,7,0,0,0,0,0,0
20,42,8170,98950,0,0,0,0,0,0,968008,0,0,25,0,0,0,0,0,0
4,0,412,1043,1536,12288,12288,1536,0,9047,1591849,0,242,11,0,242,242,0,9289,242
4,1,758,2210,0,0,0,0,0,614,1256072,0,29,9,0,29,29,0,643,29
4,2,1060,3377,0,0,0,0,0,904,1599759,0,0,11,0,0,0,0,614,0
4,3,1326,4504,0,0,0,0,0,290,1354169,0,0,9,0,0,0,0,290,0
4,4,1577,5673,0,0,0,0,0,614,1261355,0,0,10,0,0,0,0,512,0
4,5,1769,6779,0,0,0,0,0,0,966438,0,3,9,0,3,3,0,3,3
4,6,1961,7946,0,0,0,0,0,0,951991,0,0,10,0,0,0,0,0,0
4,7,2219,9551,0,0,0,0,0,902,1228823,0,0,13,0,0,0,0,612,0
4,8,2396,10739,0,0,0,0,0,0,905636,0,0,10,0,0,0,0,0,0
4,9,2616,12271,0,0,0,0,0,0,1118195,0,0,13,0,0,0,0,0,0
4,10,2807,13647,0,0,0,0,0,0,966929,0,0,12,0,0,0,0,0,0
4,11,3007,15091,0,0,0,0,0,0,973201,0,0,12,0,0,0,0,0,0
4,12,3209,16582,0,0,0,0,0,0,967287,0,0,12,0,0,0,0,0,0
4,13,3390,18081,0,0,0,0,0,902,837388,0,0,12,0,0,0,0,511,0
4,14,3510,19133,0,0,0,0,0,0,565689,0,0,8,0,0,0,0,0,0
4,15,3725,20889,0,0,0,0,0,0,1051856,0,0,14,0,0,0,0,0,0
4,16,3955,22762,0,0,0,0,0,0,1141427,0,0,15,0,0,0,0,0,0
4,17,4162,24573,0,0,0,0,0,0,956111,0,0,14,0,0,0,0,0,0
4,18,4358,26293,0,0,0,0,0,0,1039064,0,0,13,0,0,0,0,0,0
4,19,4524,28042,0,0,0,0,0,0,755632,0,0,13,0,0,0,0,0,0
4,20,4722,29829,0,0,0,0,0,0,998210,0,0,13,0,0,0,0,0,0
4,21,4901,31757,0,0,0,0,0,0,911213,0,0,13,0,0,0,0,0,0
4,22,5089,33433,0,0,0,0,0,391,902369,0,0,14,0,0,0,0,391,0
4,23,5253,35061,0,0,0,0,0,511,784179,0,0,12,0,0,0,0,0,0
4,24,5464,37126,0,0,0,0,0,0,1032894,0,0,15,0,0,0,0,0,0
4,25,5668,39052,0,0,0,0,0,0,1004492,0,0,14,0,0,0,0,0,0
4,26,5856,40927,0,0,0,0,0,0,926139,0,0,14,0,0,0,0,0,0
4,27,6082,43221,0,0,0,0,0,0,1082188,0,0,17,0,0,0,0,0,0
4,28,6302,45373,0,0,0,0,0,0,1061844,0,0,17,0,0,0,0,0,0
4,29,6519,47720,0,0,0,0,0,0,1059716,0,0,17,0,0,0,0,0,0
4,30,6730,49917,0,0,0,0,0,0,1090297,0,0,17,0,0,0,0,0,0
4,31,6945,52273,0,0,0,0,0,0,980435,0,0,18,0,0,0,0,0,0
4,32,7050,53375,0,0,0,0,0,0,567395,0,0,8,0,0,0,0,0,0
4,33,7250,55616,0,0,0,0,0,0,999301,0,0,16,0,0,0,0,0,0
4,34,7335,56696,0,0,0,0,0,0,356533,0,0,8,0,0,0,0,0,0
4,35,7522,58874,0,0,0,0,0,0,920494,0,0,14,0,0,0,0,0,0
4,36,7730,61201,0,0,0,0,0,0,929365,0,0,17,0,0,0,0,0,0
4,37,7828,62300,0,0,0,0,0,0,490315,0,0,8,0,0,0,0,0,0
4,38,8069,64905,0,0,0,0,0,0,1189472,0,0,21,0,0,0,0,0,0
4,39,8302,67549,0,0,0,0,0,902,1151089,0,0,19,0,0,0,0,511,0
4,40,8502,69874,0,0,0,0,0,0,984943,0,0,19,0,0,0,0,0,0
4,41,8724,72487,0,0,0,0,0,0,1063849,0,0,18,0,0,0,0,0,0
4,42,8974,75420,0,0,0,0,0,0,1273977,0,0,20,0,0,0,0,0,0
4,43,9071,76517,0,0,0,0,0,0,499667,0,0,8,0,0,0,0,0,0
4,44,9289,79169,0,0,0,0,0,0,1027483,0,0,21,0,0,0,0,0,0
4,45,9377,80206,0,0,0,0,0,0,400646,0,0,7,0,0,0,0,0,0
4,46,9534,82152,0,0,0,0,0,0,775545,0,0,16,0,0,0,0,0,0
4,47,9764,84933,0,0,0,0,0,0,1107947,0,0,19,0,0,0,0,0,0
4,48,10015,87926,0,0,0,0,0,0,1053351,0,0,20,0,0,0,0,0,0
4,49,10094,88950,0,0,0,0,0,0,288126,0,0,8,0,0,0,0,0,0
4,50,10223,90329,0,0,0,0,0,0,225263,0,0,8,0,0,0,0,0,0
4,51,10475,93640,0,0,0,0,0,0,1064094,0,0,22,0,0,0,0,0,0
4,52,10699,96381,0,0,0,0,0,0,1031688,0,0,21,0,0,0,0,0,0
4,53,10798,97468,0,0,0,0,0,0,471328,0,0,8,0,0,0,0,0,0
4,54,11055,100579,0,0,0,0,0,0,1280616,0,0,22,0,0,0,0,0,0
4,55,11294,103740,0,0,0,0,0,0,1223123,0,0,25,0,0,0,0,0,0
4,56,11393,104847,0,0,0,0,0,0,496825,0,0,8,0,0,0,0,0,0
4,57,11674,108531,0,0,0,0,0,0,1347669,0,0,26,0,0,0,0,0,0
4,58,11881,111351,0,0,0,0,0,0,1038135,0,0,19,0,0,0,0,0,0
4,59,12121,114529,0,0,0,0,0,0,1090724,0,0,24,0,0,0,0,0,0
4,60,12199,115635,0,0,0,0,0,0,344052,0,0,8,0,0,0,0,0,0
4,61,12439,118907,0,0,0,0,0,0,1105116,0,0,24,0,0,0,0,0,0
4,62,12689,122282,0,0,0,0,0,0,1220502,0,0,22,0,0,0,0,0,0
4,63,12773,123342,0,0,0,0,0,0,327153,0,0,7,0,0,0,0,0,0
4,64,13005,126700,0,0,0,0,0,0,1085590,0,0,24,0,0,0,0,0,0
4,65,13082,127818,0,0,0,0,0,0,384430,0,0,8,0,0,0,0,0,0
8,0,186,1417,1024,8192,7226,1024,0,6600,1774844,0,270,13,0,270,270,0,6870,270
8,1,475,2804,0,0,966,0,0,801,1115785,0,268,9,0,268,268,0,1069,268
8,2,750,4041,0,0,0,0,0,295,1304110,0,177,11,0,177,177,0,176,176
8,3,977,5249,0,0,0,0,0,584,1116312,0,244,9,0,244,244,0,784,200
8,4,1170,6385,0,0,0,0,0,0,951569,0,230,10,0,230,230,0,207,207
8,5,1344,7423,0,0,0,0,0,0,823855,0,162,8,0,162,162,0,162,162
8,6,1511,8449,0,0,0,0,0,0,816074,0,126,9,0,126,126,0,126,126
8,7,1688,9587,0,0,0,0,0,583,838411,0,50,10,0,50,50,0,583,0
8,8,1911,11119,0,0,0,0,0,0,1130443,0,0,13,0,0,0,0,0,0
8,9,2088,12474,0,0,0,0,0,0,877238,0,0,11,0,0,0,0,0,0
8,10,2303,13978,0,0,0,0,0,0,1016705,0,0,13,0,0,0,0,0,0
8,11,2497,15449,0,0,0,0,0,0,924380,0,0,12,0,0,0,0,0,0
8,12,2688,16917,0,0,0,0,0,0,975171,0,0,12,0,0,0,0,0,0
8,13,2839,18201,0,0,0,0,0,583,674194,0,0,11,0,0,0,0,583,0
8,14,3051,19937,0,0,0,0,0,0,1043349,0,0,14,0,0,0,0,0,0
8,15,3275,21760,0,0,0,0,0,0,1136514,0,0,14,0,0,0,0,0,0
